810001,1 Clementi Loop,D05,1 Clementi Loop,129808,Factory/Workshop (B2) ,N/A,Unknown Tenure,N/A,N/A,N/A,https://www.commercialguru.com.sg/project/22998/1-clementi-loop,
810002,1 Finlayson Green,D01,1 Finlayson Green,049246,Office,N/A,N/A,N/A,N/A,N/A,https://www.commercialguru.com.sg/project/19435/1-finlayson-green,"1 Finlayson Green is a commercial property located at 1, Finlayson Green, 049246 in District 01. 1 Finlayson Green is primarily used for Office space rent and sale. 1 Finlayson Green is close to Raffles Place MRT Station (NS26/EW14) and Marina Bay MRT Station (NS27). It is near to several bus stops located opposite AIA Tower, Robinson Road – 03031, at One Raffles Quay – 03059 and at Prudential Tower, Cecil Street – 03021.


Amenities near 1 Finlayson Green

1 Finlayson Green is near to several eateries located at nearby buildings such as Chopsticks-The Asian Kitchen at One Raffles Quay and Banquet at Clifford Centre.
	
1 Finlayson Green is within reasonable distance to Cold Storage Supermarket. It is also close Capital Square for an array of amenities such as grocery and retail shopping, banks and more.

1 Finlayson Green is accessible via Robinson Road, Collyer Quay and Raffles Quay."
810003,1 Jalan Kilang,D03,1 Jalan Kilang,159402,Light Industrial (B1),N/A,Unknown Tenure,N/A,N/A,N/A,https://www.commercialguru.com.sg/project/19375/1-jalan-kilang,
810004,1 Kay Siang Road,D10,1 Kay Siang Road,248922,Office,N/A,Unknown Tenure,N/A,12,1,https://www.commercialguru.com.sg/project/23545/1-kay-siang-road,
810005,1 Lorong 16 Geylang,D14,1 Lorong 16 Geylang,398849,Shop/Shophouse,N/A,999-year Leasehold,1960,5,N/A,https://www.commercialguru.com.sg/project/23483/1-lorong-16-geylang,"1 Lorong 16 Geylang1 Lorong 16 Geylang is a commercial property located in 1 Lorong 16 Geylang in District 14. The project is a 999 years leasehold shop-house development built-in 1960. The commercial space of 1 Lorong 16 Geylang is primarily used for rental and sale purposes. The building consists of 5 floors and the shophouses are composed of 3, 4, 5 or 6 bedrooms. Facilities of air-conditioning and security are provided by the property. The Shop / Shop-house space is 0.58 km away from EW9 Aljunied MRT Station. Bus stops are also in the vicinity of this property. Schools such as Broadrick Secondary School, Kong Hwa School, Geylang Methodist School, and Canossa Catholic Primary School are within walking distance to the property. Amenities of shopping marts, eateries, banks and bakeries are also available near the establishment. Hospitals such as Tan Tock Seng Hospital, Singapore General Hospital, and Parkway East Hospital are also located in the close by area. Kallang Wave Mall And City Plaza are within the walking distance to this shop-house development.1 Lorong 16 Geylang – Unique selling pointThe 1 Lorong 16 Geyland developments offer a car park area and 24 hours security to the residents of the building. A proper security system maintains the check and balance of the community. A 24 hours central air-conditioning system is equipped in the facility. There is also a special feature of broadband internet in the establishment. These are the basic facilities and the requirements of every shop-house. The 1 Lorong 16 Geylang fulfills all these requirements.1 Lorong 16 Geylang – AccessibilityThe shop-house is reachable via several MRTs and bus stops. MRTs in the area are Aljunied MRT, Mountbatten MRT, And Dakota MRT. Bus stops in proximity to these shop-house developments are Bef Lor 18 Geylang, Assn Bldg, and Aft Chen Li Presby Ch.1 Lorong 16 Geylang – AmenitiesDining near 1 Lorong 16 GeylangGolden Jade RestaurantMae Toi Mahasarakahm Thai restaurantTan Ser Seng Herbs Restaurant ???????Haru - Japanese Korean Inspired BowlsTasvee RestaurantSchools and Education near 1 Lorong 16 GeylangBroadrick Secondary SchoolKong Hwa SchoolGeylang Methodist School (primary)CANOSSA CATHOLIC PRIMARY SCHOOLGeylang Methodist School (secondary)Chung Cheng High School (main)Dunman High SchoolShopping near 1 Lorong 16 GeylangLEISURE PARK KALLANGKALLANG WAVE MALLCITY PLAZANTUC FAIRPRICE (JALAN TIGA)NTUC FAIRPRICE (UPPER BOON KENG)NTUC FAIRPRICE (GEYLANG LORONG 38)Hospitals/Childcare centers near 1 Lorong 16 GeylangTan Tock Seng HospitalSingapore General HospitalParkway East HospitalSGH Block 7Mount Elizabeth Hospital1 Lorong 16 Geylang – Project information1 Lorong 16 Geylang is a 999-years leasehold shop-house development located in District 14. A shop-house is a building consisting of a shop opening on the pavement and also used as an owner’s residence. 1 Lorong 16 Geylang consists of 5 floors. It constitutes a medium-rise building. The shop-houses available in this building consist of 3, 4, 5 and 6 bedrooms. The shop-houses are available for rental and sale purposes. It also provides a 2 years lease term. The property details are as follows:Project Name: 1 Lorong 16 GeylangProject Type:Shop / Shop-houseAddress:1 Lorong 16 Geylang 398849District: 14 (Eunos, Geylang, Paya Lebar)Tenure:999-year LeaseholdDeveloper: N.ABuilt:1960Floor area: 1,432 sqft / 133.04 sqmUnit type:3 bedrooms4 bedrooms5 bedrooms6 bedrooms1 Lorong 16 Geylang – Nearby projectsFollowing are some residency projects near 1 Lorong 16 Geylang:#1 Loft#1 Suites (one Suites)28 Imperial Residences"
810006,1 Toa Payoh Industrial Park,D12,1 Toa Payoh Industrial Park,319053,Light Industrial (B1),N/A,Freehold,N/A,N/A,N/A,https://www.commercialguru.com.sg/project/19056/1-toa-payoh-industrial-park,"1 Toa Payoh Industrial Park is Freehold commercial property located at 1, Toa Payoh Industrial Park, Singapore 319053 in District 12. 1 Toa Payoh Industrial Park is primarily used for Light Industrial (B1) rental and sale. 1 Toa Payoh Industrial Park is close to Potong Pasir Mrt Station (NE10).  
 
Amenities near 1 Toa Payoh Industrial Park 
 
1 Toa Payoh Industrial Park is near to several eateries located at nearby buildings such as Fisherman’s Wharf at Blk 9 Toa Payoh Industrial Park and Famous Crab King Seafood at Blk 1002 Toa Payoh Industrial Park.

1 Toa Payoh Industrial Park is within reasonable distance to NTUC FairPrice Supermarket. It is also close to HDB HUB for an array of amenities such as grocery and retail shopping, banks and more. 
 
1 Toa Payoh Industrial Park is accessible via Lorong 8 Toa Payoh and Central Expressway."
810007,1 Woodlands Industrial Park E9,D27,1 Woodlands Industrial Park E9,757703,Factory/Workshop (B2) ,N/A,N/A,N/A,N/A,N/A,https://www.commercialguru.com.sg/project/19057/1-woodlands-industrial-park-e9,"1 Woodlands Industrial Park E9 is a commercial property located at 1, Woodlands Industrial Park, Singapore 757703 in District 27. 1 Woodlands Industrial Park E9 is primarily used for Factory/Workshop (B2) rental and sale. 1 Woodlands Industrial Park E9 is close to Admiralty Mrt Station (NS10).  
 
Amenities near 1 Woodlands Industrial Park E9 
 
1 Woodlands Industrial Park E9 is near to several eateries located at nearby buildings such as McDonalds Fast Food at 768 Woodlands Avenue 6.

1 Woodlands Industrial Park E9 is within reasonable distance to Prime Supermarket.

1 Woodlands Industrial Park E9 is accessible via Woodlands Avenue 8 and Woodlands Avenue 9."
810008,10  Lorong Bakar Batu,D13,10 Lorong Bakar Batu,348744,Factory/Workshop (B2) ,N/A,Unknown Tenure,N/A,N/A,N/A,https://www.commercialguru.com.sg/project/23047/10-lorong-bakar-batu,10  Lorong Bakar Batu
810009,10 Kaki Bukit Avenue 1,D14,10 Kaki Bukit Avenue 1,417942,Light Industrial (B1),N/A,Unknown Tenure,N/A,N/A,N/A,https://www.commercialguru.com.sg/project/23004/10-kaki-bukit-avenue-1,
810010,10 Raeburn Park,D02,10 Raeburn Park,088702,Office,N/A,30-year Leasehold,N/A,N/A,N/A,https://www.commercialguru.com.sg/project/21439/10-raeburn-park,"10 Raeburn Park is a 30-year Leasehold commercial property located at 10, Raeburn Park, 088702 in District 02. 10 Raeburn Park is primarily used for Office rental and sale. 10 Raeburn Park is close to Outram Park MRT Station and Tanjong Pagar MRT Station. It is near to several bus stops located at Keppel Road- Keppel Workshop - 14071, Kg Bahru Road, Opp Melati BLK 2 - 10391, Kampong Bahru Road, Aft Jalan Bukit Merah - 10049 and Kampong Bahru Road, Aft Blair Road - 10041.

Amenities near 10 Raeburn Park

10 Raeburn Park is near to several eateries located at nearby building such as Jalan Bukit Merah BLK 112 Market and Food Centre and 11 Outram Park.

10 Raeburn Park is within reasonable distance to Shop N Save Supermarket. It is also close to Tanjong Pagar Plaza and Amara Shopping Centre for an array of amenities such as grocery and retail shopping, banks and more.

10 Raeburn Park is accessible via Ayer Rajah Expressway (AYE), Raeburn Park and Spottiswoode Park."
